inst_id,inst_label,mode_str,EU_status,IU_status,EU_obj,IU_obj,EU_gap,IU_gap,EU_time_sec,IU_time_sec,abs_obj_diff
16,n6_rho4_P_LI2_CVX_seed106,RLT_PSD3x3_X,OPTIMAL,OPTIMAL,0.8154326408469448,0.8154342541513229,36.2294,36.2292,0.0209,0.0176,1.6133043780897083e-6
16,n6_rho4_P_LI2_CVX_seed106,RLT_PSD3x3_U,OPTIMAL,OPTIMAL,-111.46874432727323,-111.513120326878,8817.375,8820.8454,0.0399,0.0237,0.04437599960476746
16,n6_rho4_P_LI2_CVX_seed106,RLT_PSD3x3_XU,OPTIMAL,OPTIMAL,0.815432642837898,0.8154351063093053,36.2294,36.2292,0.0191,0.0189,2.4634714073101804e-6
16,n6_rho4_P_LI2_CVX_seed106,RLT_blockSDP_U,OPTIMAL,OPTIMAL,-111.46874568309121,-111.51311914715798,8817.3751,8820.8453,0.0205,0.0228,0.04437346406676568
16,n6_rho4_P_LI2_CVX_seed106,RLT_full_SDP,OPTIMAL,OPTIMAL,1.2781705795528477,1.278167393325174,0.0411,0.0414,0.0439,0.0572,3.1862276737015804e-6
17,n6_rho4_P_LI2_QI1_NCVX_seed107,RLT_SOC2x2_diag_X,SLOW_PROGRESS,OPTIMAL,,-11.960202972936491,,535.3677,0.0131,0.0112,
17,n6_rho4_P_LI2_QI1_NCVX_seed107,RLT_SOC2x2_diag_XU,SLOW_PROGRESS,OPTIMAL,,-11.960199457650472,,535.3675,0.0265,0.0141,
17,n6_rho4_P_LI2_QI1_NCVX_seed107,RLT_SOC_hybrid_XU,OPTIMAL,OPTIMAL,0.8934129572216438,0.8934148158035375,67.4786,67.4785,0.0092,0.0093,1.858581893721123e-6
18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,RLT_SOC2x2_diag_X,OPTIMAL,OPTIMAL,-13.254502571818646,-13.26345579821583,381.3215,381.6466,0.0085,0.0081,0.008953226397183656
18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,RLT_SOC2x2_diag_XU,OPTIMAL,OPTIMAL,-13.254502557712524,-13.263454567778474,381.3215,381.6466,0.0056,0.0069,0.008952010065950589
