inst_id,inst_label,n,rho,mode,EU_status,EU_obj,EU_gap,EU_time_sec,IU_status,IU_obj,IU_gap,IU_time_sec,exact_status,exact_obj,exact_time_sec
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_SOC2x2_full_U,OPTIMAL,-1730.281843957788,146698.7959,0.0032,OPTIMAL,-1730.2818482022026,146698.7963,0.0027,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_SOC2x2_full_XU,OPTIMAL,-1.2403494933025063,5.2325,0.0049,OPTIMAL,-1.2403494912021371,5.2325,0.0051,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_SOC_directional_X,OPTIMAL,-1.1791369457778247,0.0391,0.0038,OPTIMAL,-1.1791369865327965,0.0391,0.0043,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_SOC_directional_U,OPTIMAL,-1730.2818511360704,146698.7965,0.0029,OPTIMAL,-1730.2818511150258,146698.7965,0.0042,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_SOC_directional_XU,OPTIMAL,-1.1791365038486872,0.0391,0.0046,OPTIMAL,-1.179137000598391,0.0391,0.0046,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_SOC_hybrid_X,OPTIMAL,-1.1791369803207727,0.0391,0.0052,OPTIMAL,-1.1791368890368417,0.0391,0.0062,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_SOC_hybrid_U,OPTIMAL,-1730.2818510975735,146698.7965,0.0041,OPTIMAL,-1730.2818510405527,146698.7965,0.0036,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_SOC_hybrid_XU,OPTIMAL,-1.1791367555439682,0.0391,0.0043,OPTIMAL,-1.1791369739161066,0.0391,0.0052,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_PSD3x3_X,OPTIMAL,-1.1791370831960006,0.0391,0.0098,OPTIMAL,-1.1791371889659217,0.0391,0.0091,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_PSD3x3_U,OPTIMAL,-1730.281859671957,146698.7973,0.0102,OPTIMAL,-1730.2818680305952,146698.798,0.0084,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_PSD3x3_XU,OPTIMAL,-1.1791372713381447,0.0392,0.0091,OPTIMAL,-1.1791370805254227,0.0391,0.0096,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_blockSDP_X,OPTIMAL,-1.1791370068013396,0.0391,0.0096,OPTIMAL,-1.1791373162411807,0.0392,0.0072,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_blockSDP_U,OPTIMAL,-1730.2818514296494,146698.7966,0.0084,OPTIMAL,-1730.2818513937514,146698.7966,0.0078,OPTIMAL,-1.1786757737820897,0.0063
